“Avrupa birliğinin başkenti neresidir?”,“Brüksel”
“Elektrik akımı ölçü birimi nedir?”,“Amper”
“Dünyanın en yüksek tepesi neresidir?”,“Everest”
“Güneşe en yakın gezegen hangisidir?”,“Merkür”
“Türkiye’nin en uzun nehri hangisidir?”,“Kızılırmak”
“Cumhurbaşkanı kaç yılda bir seçilir”,“5”
“Pisagor teoremi hangi bilim dalıyla ilgilidir ?”,“Matematik”
“Dünyanın en büyük adasının adı nedir ?”,“Grönland”
“Hollanda’nın başkenti neresidir?”,“Amsterdam”
“Kırgızıstan’ın başkenti neresidir?”,“Bişkek”
“Türkiye’nin kuzeyden geçen en uç şehri hangisidir?”,“Sinop”
“Atmosfer’in en alt tabakasına ne ad verilir?”,“Troposfer”
“Cennet-cehennem mağaraları hangi ilimizdedir?”,“Mersin”
“İlk yerli tiyatro eseri kime aittir?”,“şinasi”
“İnternet üzerinde en fazla kullanılan arama motoru hangisidir ?”,“Google”
“Mustafa Kemal Atatürk’ün Nüfusa Kayıtlı Olduğu İl Hangisidir?”,“Gaziantep”
“FIFA’ya göre futbolun doğduğu ülke hangisidir?”,“Çin”
“Portekiz'in başkenti nedir?”,“Lizbon”
